,sido_name,gugun_name,sido_code,gugun_code,addr,doro_address,s_code,s_name,open_dt,lat,lot,s_biz_code,store_area_code,out_distance,defaultimage
1511,강원,속초시,09,0903,강원도 속초시 조양동 1002-39,강원도 속초시 동해대로 4114 (조양동),1007,속초DT,20151127,38.1898709,128.58441240000002,3189,A12,263.33,http://image.istarbucks.co.kr/upload/store/2022/11/[3189]_20221107051800_dj5dy.jpg
1512,강원,속초시,09,0903,"강원도 속초시 장사동 24-1,한화콘도미디엄 제이동 제이-1층호",강원도 속초시 미시령로2983번길 111 (장사동),1191,설악쏘라노,20170324,38.210590,128.528526,3401,A12,260.24,http://image.istarbucks.co.kr/upload/store/2021/01/[3401]_20210119012456_gn4x4.jpg
1513,강원도,원주시,09,0916,강원도 원주시 단구동 1460-14,강원도 원주시 서원대로 443 (단구동),1911,원주단구DT,20220113,37.328515,127.953443,4038,A12,176.91,http://image.istarbucks.co.kr/upload/store/2022/01/[4038]_20220110081638_aew45.jpg
1514,강원도,원주시,09,0916,강원도 원주시 태장동 1286-11286-181286-191286-22,강원도 원주시 현충로 294 (태장동),2049,원주IC DT,20221103,37.3796535787322,127.94888360686,4167,A12,177.72,http://image.istarbucks.co.kr/upload/store/2022/10/[4167]_20221031114359_6199u.jpg
1515,강원도,원주시,09,0916,강원도 원주시 지정면 월송리 1061-16 빌리지센터,강원도 원주시 지정면 오크밸리1길 70 ,1989,오크밸리,20220615,37.43417495876176,127.81854393102705,4310,A12,168.11,http://image.istarbucks.co.kr/upload/store/2022/06/[4310]_20220614050623_mgm4h.jpg
1516,강원도,원주시,09,0916,강원도 원주시 단계동 882-2 스타벅스 원주터미널점,강원도 원주시 서원대로 178 (단계동),554,원주터미널,20120926,37.343887,127.9311,9745,A12,175.32,http://image.istarbucks.co.kr/upload/store/2021/12/[9745]_20211215100216_74itx.jpg
1517,강원도,원주시,09,0916,강원도 원주시 반곡동 1886-3 골든스퀘어2차 1F,강원도 원주시 혁신로 61 (반곡동),1131,원주혁신도시,20161118,37.323157,127.980611,3350,A12,179.15,http://image.istarbucks.co.kr/upload/store/2022/02/[3350]_20220205054640_qtthw.jpg
1518,강원도,원주시,09,0916,강원도 원주시 무실동 1852-1,강원도 원주시 능라동길 73 (무실동),1232,원주무실,20170608,37.332972,127.930448,3448,A12,175.01,http://image.istarbucks.co.kr/upload/store/2022/01/[3448]_20220119164449161.png
1519,강원도,원주시,09,0916,강원도 원주시 명륜동 290-1,강원도 원주시 남원로 588 (명륜동),1425,원주명륜DT,20181024,37.335971,127.949754,3602,A12,176.75,http://image.istarbucks.co.kr/upload/store/2022/04/[3602]_20220414121002_ch53y.jpg
1520,강원도,원주시,09,0916,"강원도 원주시 반곡동 1141,1142,1142-2,1144-2,1150-4",강원도 원주시 동부순환로 37 (반곡동),1487,원주반곡DT,20190426,37.319904,127.97157,3662,A12,178.3,http://image.istarbucks.co.kr/upload/store/2022/04/[3662]_20220412045817_agru1.jpg
